序列,机速,负压_1,负压_2,负压_3,负压_4,负压_5,负压_6,负压_7,负压_8,负压_9,负压_10,负压_11,负压_12,负压_13,负压_14,负压_15,负压_16,负压_17,负压_18,1#风箱南侧温度,1#风箱北侧温度,2#风箱南侧温度,2#风箱北侧温度,3#风箱南侧温度,3#风箱北侧温度,4#风箱南侧温度,4#风箱北侧温度,5#风箱南侧温度,5#风箱北侧温度,6#风箱南侧温度,6#风箱北侧温度,7#风箱南侧温度,7#风箱北侧温度,8#风箱南侧温度,8#风箱北侧温度,9#风箱南侧温度,9#风箱北侧温度,10#风箱南侧温度,10#风箱北侧温度,11#风箱南侧温度,11#风箱北侧温度,12#风箱南侧温度,12#风箱北侧温度,13#风箱南侧温度,13#风箱北侧温度,14#风箱南侧温度,14#风箱北侧温度,15#风箱南侧温度,15#风箱北侧温度,16#风箱南侧温度,16#风箱北侧温度,17#风箱南侧温度,17#风箱北侧温度,18#风箱南侧温度,18#风箱北侧温度,大烟道负压_1,大烟道负压_2,大烟道温度_1,大烟道温度_2,CO浓度,温度_1,温度_2,温度_3,温度_4,温度_5,温度_6,温度_7,温度_8,温度_9,温度_10,温度_11,温度_12,温度_13,温度_14,温度_15,温度_16,温度_17,温度_18
1,1.26,-11.609,-11.785,-11.33,-11.392,-11.392,-13.823,-13.823,-13.836,-13.836,-13.741,-13.741,-13.697,-13.697,-13.506,-13.506,-13.305,-13.106,-11.229,118.1,112.4,102.7,99.8,95.8,92.1,92.8,88.7,97.8,140.2,93.4,99.0,87.8,88.5,85.5,86.2,84.7,85.3,85.4,89.3,106.5,109.1,197.4,177.9,333.7,354.5,373.6,438.4,447.6,486.2,502.5,505.2,524.9,516.7,503.8,486.8,-13.898,-14.097,170.7,154.8,3513.455,115.25,101.25,93.94999999999999,90.75,119.0,96.2,88.15,85.85,85.0,87.35,107.8,187.65,344.1,406.0,466.9,503.85,520.8,495.3
2,1.26,-11.654,-11.829,-11.309,-11.364,-11.364,-13.812,-13.812,-13.825,-13.825,-13.723,-13.723,-13.694,-13.694,-13.495,-13.495,-13.274,-13.04,-11.274,119.7,112.7,102.2,99.7,95.1,91.9,92.2,88.5,97.6,140.9,93.9,99.1,87.7,88.2,85.1,86.0,84.9,85.6,85.3,88.7,102.2,102.1,190.0,165.1,350.7,331.1,431.2,464.4,461.5,493.5,513.4,518.1,523.2,514.4,500.8,482.0,-13.883,-14.053,171.1,154.4,3532.625,116.2,100.95,93.5,90.35,119.25,96.5,87.95,85.55,85.25,87.0,102.15,177.55,340.9,447.79999999999995,477.5,515.75,518.8,491.4
3,1.26,-11.61,-11.816,-11.306,-11.335,-11.335,-13.794,-13.794,-13.826,-13.826,-13.72,-13.72,-13.703,-13.703,-13.51,-13.51,-13.27,-13.063,-11.248,121.0,113.4,102.3,99.7,94.7,91.8,91.6,88.2,102.3,130.5,95.1,97.2,87.8,88.4,84.6,85.6,85.0,85.7,85.2,88.3,101.1,98.9,180.2,149.1,331.4,288.2,469.5,485.3,477.9,505.5,523.7,530.0,531.6,524.4,500.8,479.2,-13.883,-14.072,170.6,152.8,3486.69,117.2,101.0,93.25,89.9,116.4,96.15,88.1,85.1,85.35,86.75,100.0,164.64999999999998,309.79999999999995,477.4,491.7,526.85,528.0,490.0
4,1.26,-11.536,-11.79,-11.314,-11.376,-11.376,-13.802,-13.802,-13.817,-13.817,-13.714,-13.714,-13.694,-13.694,-13.492,-13.492,-8.605,-6.15,-5.14,121.2,113.6,103.0,99.9,94.3,91.7,91.2,88.0,102.3,129.7,94.5,97.1,88.0,88.3,84.5,85.6,84.6,85.5,85.2,88.1,96.7,95.4,176.4,137.6,309.1,271.9,460.3,459.8,493.3,519.1,540.7,537.8,543.3,537.8,506.4,488.7,-13.899,-14.157,169.5,151.2,3540.22,117.4,101.45,93.0,89.6,116.0,95.8,88.15,85.05,85.05,86.65,96.05000000000001,157.0,290.5,460.05,506.20000000000005,539.25,540.55,497.54999999999995
5,1.26,-11.449,-11.756,-11.354,-11.422,-11.422,-13.851,-13.851,-13.877,-13.877,-13.778,-13.778,-13.755,-13.755,-13.511,-13.511,-7.568,-5.775,-4.805,119.9,112.7,104.1,100.2,94.5,91.6,90.9,87.9,100.1,130.3,93.3,97.6,87.8,88.3,84.4,85.9,84.3,85.5,84.9,87.7,94.0,93.1,166.5,133.6,293.6,237.4,420.3,422.6,497.1,511.1,528.9,526.9,531.6,509.4,498.6,486.9,-13.917,-14.105,167.9,146.8,3574.942,116.30000000000001,102.15,93.05,89.4,115.2,95.44999999999999,88.05,85.15,84.9,86.30000000000001,93.55,150.05,265.5,421.45000000000005,504.1,527.9,520.5,492.75
6,1.26,-11.363,-11.702,-11.349,-11.431,-11.431,-13.856,-13.856,-13.892,-13.892,-13.809,-13.809,-13.777,-13.777,-13.554,-13.554,-7.932,-6.195,-4.782,119.1,111.9,105.1,100.5,95.2,91.7,91.1,88.0,98.2,127.4,92.4,97.4,87.5,88.0,84.4,85.9,84.2,85.6,84.5,87.4,92.9,91.1,149.0,120.1,291.5,242.4,399.1,385.4,485.1,491.5,525.3,522.0,525.0,500.6,494.3,483.3,-13.936,-14.128,165.5,143.3,3505.498,115.5,102.8,93.45,89.55,112.80000000000001,94.9,87.75,85.15,84.9,85.95,92.0,134.55,266.95,392.25,488.3,523.65,512.8,488.8
7,1.27,-11.334,-11.651,-11.347,-11.362,-11.362,-13.835,-13.835,-13.855,-13.855,-13.785,-13.785,-13.8,-13.8,-13.649,-13.649,-13.443,-13.293,-11.226,119.9,111.6,105.0,100.0,95.8,92.4,91.9,87.9,96.9,130.9,91.9,97.4,87.3,87.7,84.3,85.5,84.3,85.6,84.3,88.3,94.3,89.8,139.6,117.0,261.5,211.9,404.2,380.1,475.3,477.7,517.4,508.5,532.2,513.9,494.3,487.4,-13.948,-14.125,163.0,140.9,3615.451,115.75,102.5,94.1,89.9,113.9,94.65,87.5,84.9,84.94999999999999,86.3,92.05,128.3,236.7,392.15,476.5,512.95,523.05,490.85
8,1.27,-11.216,-11.574,-11.293,-11.345,-11.345,-13.891,-13.891,-13.931,-13.931,-13.857,-13.857,-13.826,-13.826,-13.615,-13.615,-8.455,-6.831,-5.771,120.4,112.1,104.3,99.2,96.3,92.2,92.5,88.4,96.4,135.6,91.9,98.0,86.8,87.5,84.2,85.3,84.3,85.5,84.4,89.0,96.6,94.8,138.4,115.6,239.8,194.3,390.9,374.2,473.9,471.1,516.6,507.1,529.1,510.1,500.3,497.2,-13.943,-14.187,162.0,140.3,3658.493,116.25,101.75,94.25,90.45,116.0,94.95,87.15,84.75,84.9,86.7,95.69999999999999,127.0,217.05,382.54999999999995,472.5,511.85,519.6,498.75
9,1.27,-11.174,-11.572,-11.349,-11.421,-11.421,-13.918,-13.918,-13.932,-13.932,-13.85,-13.85,-13.83,-13.83,-13.619,-13.619,-8.777,-7.182,-5.725,119.8,112.7,104.0,98.6,95.7,91.7,92.9,88.7,96.8,135.8,92.6,98.0,86.6,87.3,84.1,85.1,84.2,85.2,84.8,88.8,99.6,99.4,152.9,121.2,253.0,199.9,366.7,343.4,469.0,460.5,503.5,490.4,514.2,491.5,494.4,481.8,-13.955,-14.186,161.9,138.6,3673.683,116.25,101.3,93.7,90.80000000000001,116.30000000000001,95.3,86.94999999999999,84.6,84.7,86.8,99.5,137.05,226.45,355.04999999999995,464.75,496.95,502.85,488.1
10,1.27,-11.306,-11.562,-11.267,-11.359,-11.359,-13.898,-13.898,-13.914,-13.914,-13.827,-13.827,-13.816,-13.816,-13.683,-13.683,-12.893,-12.414,-10.9,119.8,112.4,104.2,98.8,95.1,91.3,92.4,88.2,96.4,138.8,93.4,98.6,86.7,87.2,83.9,85.0,84.2,85.6,85.2,88.7,101.5,98.9,166.5,145.4,268.5,207.0,382.8,345.4,464.2,454.8,512.8,495.2,524.1,502.7,492.7,481.1,-13.959,-14.191,162.4,138.9,3570.602,116.1,101.5,93.19999999999999,90.30000000000001,117.60000000000001,96.0,86.95,84.45,84.9,86.95,100.2,155.95,237.75,364.1,459.5,504.0,513.4,486.9
11,1.27,-11.41,-11.598,-11.237,-11.329,-11.329,-13.913,-13.913,-13.93,-13.93,-13.841,-13.841,-13.819,-13.819,-13.675,-13.675,-12.901,-12.487,-10.902,119.5,111.9,104.0,98.5,95.6,91.3,91.9,87.8,96.0,140.3,94.0,99.0,86.9,87.5,83.9,84.8,84.0,85.5,85.2,89.1,109.0,98.9,184.2,158.2,299.3,240.5,404.7,353.4,463.2,448.8,514.9,495.6,526.7,510.4,503.2,489.4,-13.962,-14.203,163.7,140.7,3635.706,115.7,101.25,93.44999999999999,89.85,118.15,96.5,87.2,84.35,84.75,87.15,103.95,171.2,269.9,379.04999999999995,456.0,505.25,518.55,496.29999999999995
