风箱,当前负压(KPa),基础PSO(KPa),改进PSO(KPa),改进调整量(KPa),下限(KPa),上限(KPa),边界距离(归一化)
1#,-11.425,-10.997,-11.228,0.197,-11.891,-10.976,0.276
2#,-11.687,-11.51,-11.787,-0.1,-12.094,-11.286,0.38
3#,-11.232,-10.977,-11.179,0.053,-11.455,-10.938,0.465
4#,-11.325,-11.548,-11.416,-0.091,-11.548,-11.053,0.267
5#,-11.325,-11.548,-11.422,-0.097,-11.548,-11.053,0.255
6#,-14.252,-14.622,-14.622,-0.37,-14.622,-13.788,0.0
7#,-14.252,-14.622,-14.151,0.101,-14.622,-13.788,0.435
8#,-14.281,-14.537,-14.053,0.228,-14.656,-13.81,0.288
9#,-14.281,-14.247,-14.202,0.079,-14.656,-13.81,0.463
10#,-14.195,-14.136,-13.925,0.27,-14.562,-13.717,0.247
11#,-14.195,-14.293,-14.203,-0.008,-14.562,-13.717,0.425
12#,-14.17,-13.684,-14.103,0.067,-14.542,-13.683,0.488
13#,-14.17,-13.931,-14.226,-0.056,-14.542,-13.683,0.368
14#,-13.99,-14.063,-13.657,0.333,-14.369,-13.345,0.304
15#,-13.99,-13.345,-13.588,0.402,-14.369,-13.345,0.237
16#,-13.609,-9.457,-10.966,2.643,-14.161,-8.898,0.393
17#,-13.398,-11.767,-10.787,2.611,-13.958,-7.638,0.498
18#,-11.142,-8.946,-9.351,1.791,-11.462,-6.471,0.423
